RSSI,LQI,Time,Yaw,Pitch,Roll,ax,ay,az,Latitude,Longitude,Altitude,Satellites,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Mode
-40,131,241871,350.88,4.31,-3.13,0.14,0.05,-0.11,0.0,0.0,0.0,0,1569,1817,1000,1500,1569,1000,1000,1000,1000,1000,255
-41,131,241888,350.88,4.31,-3.13,0.13,0.04,-0.06,0.0,0.0,0.0,0,1569,1817,1000,1500,1569,1000,1000,1000,1000,1000,255
-42,131,241918,350.88,4.31,-3.13,0.12,0.03,-0.11,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-42,133,241949,350.88,4.31,-3.13,0.13,0.03,-0.07,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-42,130,241964,350.88,4.31,-3.13,0.11,0.02,-0.07,0.0,0.0,0.0,0,1569,1817,1000,1500,1569,1000,1000,1000,1000,1000,255
-39,129,241993,350.88,4.31,-3.13,0.15,0.02,-0.08,0.0,0.0,0.0,0,1568,1817,1000,1500,1568,1000,1000,1000,1000,1000,255
-42,131,242039,350.88,4.31,-3.13,0.13,0.04,-0.1,0.0,0.0,0.0,0,1568,1817,1000,1500,1568,1000,1000,1000,1000,1000,255
-42,131,242056,350.88,4.31,-3.13,0.14,0.03,-0.07,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-42,131,242087,350.88,4.31,-3.13,0.13,0.02,-0.1,0.0,0.0,0.0,0,1569,1817,1000,1500,1569,1000,1000,1000,1000,1000,255
-41,130,242118,350.88,4.31,-3.13,0.12,0.04,-0.11,0.0,0.0,0.0,0,1569,1817,1000,1500,1569,1000,1000,1000,1000,1000,255
-41,131,242134,350.88,4.31,-3.13,0.14,0.03,-0.1,0.0,0.0,0.0,0,1570,1817,1000,1500,1570,1000,1000,1000,1000,1000,255
-40,130,242163,350.88,4.31,-3.13,0.14,0.06,-0.09,0.0,0.0,0.0,0,1568,1818,1000,1500,1568,1000,1000,1000,1000,1000,255
-38,130,242193,350.88,4.31,-3.13,0.11,0.02,-0.11,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-39,133,242217,350.88,4.31,-3.13,0.14,0.02,-0.1,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-39,134,242240,350.88,4.31,-3.13,0.15,0.04,-0.09,0.0,0.0,0.0,0,1569,1817,1000,1500,1569,1000,1000,1000,1000,1000,255
-37,130,242271,350.88,4.31,-3.13,0.13,0.01,-0.08,0.0,0.0,0.0,0,1569,1817,1000,1500,1569,1000,1000,1000,1000,1000,255
-39,130,242288,350.88,4.31,-3.13,0.14,0.03,-0.1,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-39,128,242319,350.88,4.31,-3.13,0.14,0.03,-0.06,0.0,0.0,0.0,0,1568,1817,1000,1500,1568,1000,1000,1000,1000,1000,255
-39,130,242349,350.88,4.31,-3.13,0.13,0.04,-0.09,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-38,130,242364,350.88,4.31,-3.13,0.13,0.04,-0.08,0.0,0.0,0.0,0,1568,1818,1000,1500,1568,1000,1000,1000,1000,1000,255
-38,133,242394,350.88,4.31,-3.13,0.15,0.04,-0.07,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-38,129,242428,350.88,4.31,-3.13,0.12,0.0,-0.09,0.0,0.0,0.0,0,1569,1817,1000,1500,1569,1000,1000,1000,1000,1000,255
-37,129,242443,350.88,4.31,-3.13,0.13,0.03,-0.1,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-36,131,242475,350.88,4.31,-3.13,0.14,0.03,-0.09,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-36,133,242506,350.88,4.31,-3.13,0.12,0.06,-0.08,0.0,0.0,0.0,0,1568,1817,1000,1500,1568,1000,1000,1000,1000,1000,255
-35,130,242521,350.88,4.31,-3.13,0.13,0.03,-0.11,0.0,0.0,0.0,0,1569,1817,1000,1500,1569,1000,1000,1000,1000,1000,255
-34,130,242552,350.88,4.31,-3.13,0.14,0.02,-0.07,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-34,132,242584,350.88,4.31,-3.13,0.14,0.05,-0.11,0.0,0.0,0.0,0,1568,1817,1000,1500,1568,1000,1000,1000,1000,1000,255
-33,131,242599,350.88,4.31,-3.13,0.14,0.03,-0.08,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-32,130,242635,350.88,4.31,-3.13,0.12,0.04,-0.08,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-32,130,242651,350.88,4.31,-3.13,0.14,0.05,-0.09,0.0,0.0,0.0,0,1569,1817,1000,1500,1569,1000,1000,1000,1000,1000,255
-31,130,242681,350.88,4.31,-3.13,0.13,0.06,-0.11,0.0,0.0,0.0,0,1569,1817,1000,1500,1569,1000,1000,1000,1000,1000,255
-32,130,242710,350.88,4.31,-3.13,0.13,0.04,-0.1,0.0,0.0,0.0,0,1569,1818,1000,1500,1569,1000,1000,1000,1000,1000,255
-32,131,242727,350.88,4.31,-3.13,0.14,0.03,-0.12,0.0,0.0,0.0,0,1569,1816,1000,1500,1569,1000,1000,1000,1000,1000,255
